anchor_name,module,anchor_signature,anchor_informal,variant_signature,transformation_type,change_description
Ideal.Quotient.factor_mk,Mathlib.RingTheory.Ideal.Quotient.Defs, (H : S ≤ T) (x : R) : factor H (mk S x) = mk T x,"Let $R$ be a commutative ring and $S, T$ be ideals of $R$ with $S \subseteq T$. For any element $x \in R$, the image of the equivalence class $[x]_S$ under the quotient map $\text{factor}(H) : R/S \to R/T$ equals the equivalence class $[x]_T$ in $R/T$.", (H : S ≤ T) (x : R) : factor H (mk S x) ≠ mk T x,negation,Changed = to ≠
Ideal.Quotient.factor_mk,Mathlib.RingTheory.Ideal.Quotient.Defs, (H : S ≤ T) (x : R) : factor H (mk S x) = mk T x,"Let $R$ be a commutative ring and $S, T$ be ideals of $R$ with $S \subseteq T$. For any element $x \in R$, the image of the equivalence class $[x]_S$ under the quotient map $\text{factor}(H) : R/S \to R/T$ equals the equivalence class $[x]_T$ in $R/T$.", (x : R) : factor H (mk S x) = mk T x,generalization,Removed hypothesis (H : S ≤ T)
contMDiffWithinAt_extChartAt_symm_range,Mathlib.Geometry.Manifold.ContMDiff.Atlas," (x : M) {y : E} (hy : y ∈ (extChartAt I x).target) : ContMDiffWithinAt 𝓘(𝕜, E) I n (extChartAt I x).symm (range I) y","Let $M$ be a $C^n$ manifold with model with corners $I : H \to E$, and let $x \in M$. For any point $y$ in the target of the extended chart $\text{extChartAt}_I(x)$, the inverse of the extended chart $\text{extChartAt}_I(x)^{-1}$ is $C^n$-differentiable within the range of $I$ at $y$."," (x : M) {y : E} (hy : y ∈ (extChartAt I x).target) : ¬(ContMDiffWithinAt 𝓘(𝕜, E) I n (extChartAt I x).symm (range I) y)",negation,Negated conclusion with ¬
contMDiffWithinAt_extChartAt_symm_range,Mathlib.Geometry.Manifold.ContMDiff.Atlas," (x : M) {y : E} (hy : y ∈ (extChartAt I x).target) : ContMDiffWithinAt 𝓘(𝕜, E) I n (extChartAt I x).symm (range I) y","Let $M$ be a $C^n$ manifold with model with corners $I : H \to E$, and let $x \in M$. For any point $y$ in the target of the extended chart $\text{extChartAt}_I(x)$, the inverse of the extended chart $\text{extChartAt}_I(x)^{-1}$ is $C^n$-differentiable within the range of $I$ at $y$."," {y : E} (hy : y ∈ (extChartAt I x).target) : ContMDiffWithinAt 𝓘(𝕜, E) I n (extChartAt I x).symm (range I) y",generalization,Removed hypothesis (x : M)
Matrix.adjugate_def,Mathlib.LinearAlgebra.Matrix.Adjugate, (A : Matrix n n α) : adjugate A = of fun i => cramer Aᵀ (Pi.single i 1),"For any square matrix $A$ of size $n \times n$ over a commutative ring, the adjugate matrix $\text{adjugate}(A)$ is defined as the matrix whose $i$-th column is given by applying Cramer's rule to the transpose matrix $A^T$ and the $i$-th standard basis vector $\mathbf{e}_i$ (represented as $\text{Pi.single } i 1$). 

Explicitly, $\text{adjugate}(A) = \text{of } (\lambda i, \text{cramer}(A^T)(\mathbf{e}_i))$, where $\text{of}$ constructs a matrix from a column-generating function.", (A : Matrix n n α) : adjugate A ≠ of fun i => cramer Aᵀ (Pi.single i 1),negation,Changed = to ≠
Matrix.adjugate_def,Mathlib.LinearAlgebra.Matrix.Adjugate, (A : Matrix n n α) : adjugate A = of fun i => cramer Aᵀ (Pi.single i 1),"For any square matrix $A$ of size $n \times n$ over a commutative ring, the adjugate matrix $\text{adjugate}(A)$ is defined as the matrix whose $i$-th column is given by applying Cramer's rule to the transpose matrix $A^T$ and the $i$-th standard basis vector $\mathbf{e}_i$ (represented as $\text{Pi.single } i 1$). 

Explicitly, $\text{adjugate}(A) = \text{of } (\lambda i, \text{cramer}(A^T)(\mathbf{e}_i))$, where $\text{of}$ constructs a matrix from a column-generating function.", : adjugate A = of fun i => cramer Aᵀ (Pi.single i 1),generalization,Removed hypothesis (A : Matrix n n α)
Finset.pow_ssubset_pow_succ_of_pow_ne_closure,Mathlib.Geometry.Group.Growth.LinearLowerBound, (hX₁ : (1 : G) ∈ X) (hX : X.Nontrivial) (hXclosure : (X ^ n : Set G) ≠ closure (X : Set G)) : X ^ n ⊂ X ^ (n + 1),"Let $G$ be a group and $X$ a finite subset of $G$ containing the identity element $1$ and at least two distinct elements. If the $n$-th power set $X^n$ is not equal to the group closure of $X$, then $X^n$ is a strict subset of the $(n+1)$-th power set $X^{n+1}$.", (hX₁ : (1 : G) ∈ X) (hX : X.Nontrivial) (hXclosure : (X ^ n : Set G) ≠ closure (X : Set G)) : ¬(X ^ n ⊂ X ^ (n + 1)),negation,Negated conclusion with ¬
Finset.pow_ssubset_pow_succ_of_pow_ne_closure,Mathlib.Geometry.Group.Growth.LinearLowerBound, (hX₁ : (1 : G) ∈ X) (hX : X.Nontrivial) (hXclosure : (X ^ n : Set G) ≠ closure (X : Set G)) : X ^ n ⊂ X ^ (n + 1),"Let $G$ be a group and $X$ a finite subset of $G$ containing the identity element $1$ and at least two distinct elements. If the $n$-th power set $X^n$ is not equal to the group closure of $X$, then $X^n$ is a strict subset of the $(n+1)$-th power set $X^{n+1}$.", (hX₁ : ∈ X) (hX : X.Nontrivial) (hXclosure : (X ^ n : Set G) ≠ closure (X : Set G)) : X ^ n ⊂ X ^ (n + 1),generalization,Removed hypothesis (1 : G)
intervalIntegral.integral_nonneg_of_forall,Mathlib.MeasureTheory.Integral.IntervalIntegral.Basic," (hab : a ≤ b) (hf : ∀ u, 0 ≤ f u) : 0 ≤ ∫ u in a..b, f u ∂μ","For any real numbers $a \leq b$ and a function $f : \mathbb{R} \to \mathbb{R}$, if $f(u) \geq 0$ for all $u \in \mathbb{R}$, then the integral of $f$ over the interval $[a, b]$ is nonnegative, i.e.,
\[ \int_a^b f(u) \, d\mu \geq 0. \]"," (hab : a ≤ b) (hf : ∀ u, 0 ≤ f u) : ¬(0 ≤ ∫ u in a..b, f u ∂μ)",negation,Negated conclusion with ¬
intervalIntegral.integral_nonneg_of_forall,Mathlib.MeasureTheory.Integral.IntervalIntegral.Basic," (hab : a ≤ b) (hf : ∀ u, 0 ≤ f u) : 0 ≤ ∫ u in a..b, f u ∂μ","For any real numbers $a \leq b$ and a function $f : \mathbb{R} \to \mathbb{R}$, if $f(u) \geq 0$ for all $u \in \mathbb{R}$, then the integral of $f$ over the interval $[a, b]$ is nonnegative, i.e.,
\[ \int_a^b f(u) \, d\mu \geq 0. \]"," (hf : ∀ u, 0 ≤ f u) : 0 ≤ ∫ u in a..b, f u ∂μ",generalization,Removed hypothesis (hab : a ≤ b)
LieModuleEquiv.apply_symm_apply,Mathlib.Algebra.Lie.Basic," (e : M ≃ₗ⁅R,L⁆ N) : ∀ x, e (e.symm x) = x","For any Lie module equivalence $e : M \simeq_{R,L} N$ between Lie modules $M$ and $N$ over a Lie algebra $L$ with coefficients in a commutative ring $R$, and for any element $x \in N$, applying $e$ to the inverse image $e^{-1}(x)$ yields $x$ again, i.e., $e(e^{-1}(x)) = x$."," (e : M ≃ₗ⁅R,L⁆ N) : ∀ x, e (e.symm x) ≠ x",negation,Changed = to ≠
LieModuleEquiv.apply_symm_apply,Mathlib.Algebra.Lie.Basic," (e : M ≃ₗ⁅R,L⁆ N) : ∀ x, e (e.symm x) = x","For any Lie module equivalence $e : M \simeq_{R,L} N$ between Lie modules $M$ and $N$ over a Lie algebra $L$ with coefficients in a commutative ring $R$, and for any element $x \in N$, applying $e$ to the inverse image $e^{-1}(x)$ yields $x$ again, i.e., $e(e^{-1}(x)) = x$."," : ∀ x, e (e.symm x) = x",generalization,"Removed hypothesis (e : M ≃ₗ⁅R,L⁆ N)"
Polynomial.toLaurentAlg_apply,Mathlib.Algebra.Polynomial.Laurent, [CommSemiring R] (f : R[X]) : toLaurentAlg f = toLaurent f,"For any commutative semiring $R$ and any polynomial $f \in R[X]$, the algebra homomorphism $\text{toLaurentAlg}$ applied to $f$ is equal to the ring homomorphism $\text{toLaurent}$ applied to $f$, i.e., $\text{toLaurentAlg}(f) = \text{toLaurent}(f)$.", [CommSemiring R] (f : R[X]) : toLaurentAlg f ≠ toLaurent f,negation,Changed = to ≠
Polynomial.toLaurentAlg_apply,Mathlib.Algebra.Polynomial.Laurent, [CommSemiring R] (f : R[X]) : toLaurentAlg f = toLaurent f,"For any commutative semiring $R$ and any polynomial $f \in R[X]$, the algebra homomorphism $\text{toLaurentAlg}$ applied to $f$ is equal to the ring homomorphism $\text{toLaurent}$ applied to $f$, i.e., $\text{toLaurentAlg}(f) = \text{toLaurent}(f)$.", (f : R[X]) : toLaurentAlg f = toLaurent f,generalization,Removed typeclass [CommSemiring R]
Trivialization.contMDiffWithinAt_snd_comp_iff₂,Mathlib.Geometry.Manifold.VectorBundle.Basic," {f : M → TotalSpace F E} (hp : ContMDiffWithinAt IM IB n (π F E ∘ f) s x) (he : f x ∈ e.source)
  (he' : f x ∈ e'.source) :
  ContMDiffWithinAt IM 𝓘(𝕜, F) n (fun y ↦ (e (f y)).2) s x ↔ ContMDiffWithinAt IM 𝓘(𝕜, F) n (fun y ↦ (e' (f y)).2) s x","Let $M$ and $B$ be manifolds with corners modeled on $IM$ and $IB$ respectively, and let $E$ be a $C^n$ vector bundle over $B$ with fiber $F$ (a normed space over $\mathbb{K}$). Let $e$ and $e'$ be local trivializations of $E$, and let $f : M \to E$ be a section of $E$ (viewed as a map to the total space). Suppose that:

1. The composition $\pi \circ f$ (where $\pi : E \to B$ is the projection) is $C^n$ within a subset $s \subseteq M$ at a point $x \in M$,
2. $f(x)$ belongs to both $e.\text{source}$ and $e'.\text{source}$.

Then the fiber component $(e(f(\cdot))).2$ is $C^n$ within $s$ at $x$ if and only if the fiber component $(e'(f(\cdot))).2$ is $C^n$ within $s$ at $x$."," {f : M → TotalSpace F E} (hp : ContMDiffWithinAt IM IB n (π F E ∘ f) s x) (he : f x ∈ e.source)
  (he' : f x ∈ e'.source) : ¬(ContMDiffWithinAt IM 𝓘(𝕜, F) n (fun y ↦ (e (f y)).2) s x ↔ ContMDiffWithinAt IM 𝓘(𝕜, F) n (fun y ↦ (e' (f y)).2) s x)",negation,Negated conclusion with ¬
Trivialization.contMDiffWithinAt_snd_comp_iff₂,Mathlib.Geometry.Manifold.VectorBundle.Basic," {f : M → TotalSpace F E} (hp : ContMDiffWithinAt IM IB n (π F E ∘ f) s x) (he : f x ∈ e.source)
  (he' : f x ∈ e'.source) :
  ContMDiffWithinAt IM 𝓘(𝕜, F) n (fun y ↦ (e (f y)).2) s x ↔ ContMDiffWithinAt IM 𝓘(𝕜, F) n (fun y ↦ (e' (f y)).2) s x","Let $M$ and $B$ be manifolds with corners modeled on $IM$ and $IB$ respectively, and let $E$ be a $C^n$ vector bundle over $B$ with fiber $F$ (a normed space over $\mathbb{K}$). Let $e$ and $e'$ be local trivializations of $E$, and let $f : M \to E$ be a section of $E$ (viewed as a map to the total space). Suppose that:

1. The composition $\pi \circ f$ (where $\pi : E \to B$ is the projection) is $C^n$ within a subset $s \subseteq M$ at a point $x \in M$,
2. $f(x)$ belongs to both $e.\text{source}$ and $e'.\text{source}$.

Then the fiber component $(e(f(\cdot))).2$ is $C^n$ within $s$ at $x$ if and only if the fiber component $(e'(f(\cdot))).2$ is $C^n$ within $s$ at $x$."," {f : M → TotalSpace F E} (hp : ContMDiffWithinAt IM IB n (π F E ∘ f) s x)
  (he' : f x ∈ e'.source) :
  ContMDiffWithinAt IM 𝓘(𝕜, F) n (fun y ↦ (e (f y)).2) s x ↔ ContMDiffWithinAt IM 𝓘(𝕜, F) n (fun y ↦ (e' (f y)).2) s x",generalization,Removed hypothesis (he : f x ∈ e.source)
ProbabilityTheory.Kernel.setIntegral_density,Mathlib.Probability.Kernel.Disintegration.Density," (hκν : fst κ ≤ ν) [IsFiniteKernel ν] (a : α) {s : Set β} (hs : MeasurableSet s) {A : Set γ} (hA : MeasurableSet A) :
  ∫ x in A, density κ ν a x s ∂(ν a) = (κ a).real (A ×ˢ s)","Let $\kappa : \alpha \to \gamma \times \beta$ and $\nu : \alpha \to \gamma$ be finite kernels such that the first projection $\mathrm{fst} \ \kappa$ is dominated by $\nu$, and suppose $\gamma$ has a countably generated $\sigma$-algebra. For any $a \in \alpha$, any measurable set $s \subseteq \beta$, and any measurable set $A \subseteq \gamma$, the integral of the density function satisfies:
\[
\int_{x \in A} \mathrm{density}(\kappa, \nu, a, x, s) \, d(\nu a) = (\kappa a)_{\mathrm{real}}(A \times s),
\]
where $(\kappa a)_{\mathrm{real}}$ denotes the real-valued measure associated with $\kappa a$."," (hκν : fst κ ≤ ν) [IsFiniteKernel ν] (a : α) {s : Set β} (hs : MeasurableSet s) {A : Set γ} (hA : MeasurableSet A) : ∫ x in A, density κ ν a x s ∂(ν a) ≠ (κ a).real (A ×ˢ s)",negation,Changed = to ≠
ProbabilityTheory.Kernel.setIntegral_density,Mathlib.Probability.Kernel.Disintegration.Density," (hκν : fst κ ≤ ν) [IsFiniteKernel ν] (a : α) {s : Set β} (hs : MeasurableSet s) {A : Set γ} (hA : MeasurableSet A) :
  ∫ x in A, density κ ν a x s ∂(ν a) = (κ a).real (A ×ˢ s)","Let $\kappa : \alpha \to \gamma \times \beta$ and $\nu : \alpha \to \gamma$ be finite kernels such that the first projection $\mathrm{fst} \ \kappa$ is dominated by $\nu$, and suppose $\gamma$ has a countably generated $\sigma$-algebra. For any $a \in \alpha$, any measurable set $s \subseteq \beta$, and any measurable set $A \subseteq \gamma$, the integral of the density function satisfies:
\[
\int_{x \in A} \mathrm{density}(\kappa, \nu, a, x, s) \, d(\nu a) = (\kappa a)_{\mathrm{real}}(A \times s),
\]
where $(\kappa a)_{\mathrm{real}}$ denotes the real-valued measure associated with $\kappa a$."," (hκν : fst κ ≤ ν) (a : α) {s : Set β} (hs : MeasurableSet s) {A : Set γ} (hA : MeasurableSet A) :
  ∫ x in A, density κ ν a x s ∂(ν a) = (κ a).real (A ×ˢ s)",generalization,Removed typeclass [IsFiniteKernel ν]
mul_one_eq_id,Mathlib.Algebra.Group.Basic, : (· * (1 : M)) = id,"For any element $x$ in a monoid $M$ with identity element $1$, the function that multiplies $x$ by $1$ on the right is equal to the identity function, i.e., $x * 1 = x$ for all $x \in M$.", : (· * (1 : M)) ≠ id,negation,Changed = to ≠
mul_one_eq_id,Mathlib.Algebra.Group.Basic, : (· * (1 : M)) = id,"For any element $x$ in a monoid $M$ with identity element $1$, the function that multiplies $x$ by $1$ on the right is equal to the identity function, i.e., $x * 1 = x$ for all $x \in M$.", : (· *) = id,generalization,Removed hypothesis (1 : M)
Ideal.homogeneousCore'_eq_sSup,Mathlib.RingTheory.GradedAlgebra.Homogeneous.Ideal, : I.homogeneousCore' 𝒜 = sSup {J : Ideal A | J.IsHomogeneous 𝒜 ∧ J ≤ I},"For any ideal $I$ of a graded ring $A$ with grading $\mathcal{A}$, the homogeneous core $I.\text{homogeneousCore}' \mathcal{A}$ is equal to the supremum of all homogeneous ideals $J$ of $A$ that are contained in $I$. That is,
\[
I.\text{homogeneousCore}' \mathcal{A} = \sup \{J \subseteq I \mid J \text{ is a homogeneous ideal of } A\}.
\]", : I.homogeneousCore' 𝒜 ≠ sSup {J : Ideal A | J.IsHomogeneous 𝒜 ∧ J ≤ I},negation,Changed = to ≠
Seminorm.mem_ball_zero,Mathlib.Analysis.Seminorm, : y ∈ ball p 0 r ↔ p y < r,"For a seminorm $p$ on a module $E$ over a normed ring $\mathbb{K}$, an element $y \in E$ belongs to the open ball centered at $0$ with radius $r \in \mathbb{R}$ if and only if $p(y) < r$.", : ¬(y ∈ ball p 0 r ↔ p y < r),negation,Negated conclusion with ¬
tprod_congr,Mathlib.Topology.Algebra.InfiniteSum.Basic," {f g : β → α} (hfg : ∀ b, f b = g b) : ∏' b, f b = ∏' b, g b","For any two functions $f, g : \beta \to \alpha$ in a commutative topological multiplicative monoid $\alpha$, if $f(b) = g(b)$ for all $b \in \beta$, then the unconditional products $\prod'_{b} f(b)$ and $\prod'_{b} g(b)$ are equal."," {f g : β → α} (hfg : ∀ b, f b = g b) : ∏' b, f b ≠ ∏' b, g b",negation,Changed = to ≠
tprod_congr,Mathlib.Topology.Algebra.InfiniteSum.Basic," {f g : β → α} (hfg : ∀ b, f b = g b) : ∏' b, f b = ∏' b, g b","For any two functions $f, g : \beta \to \alpha$ in a commutative topological multiplicative monoid $\alpha$, if $f(b) = g(b)$ for all $b \in \beta$, then the unconditional products $\prod'_{b} f(b)$ and $\prod'_{b} g(b)$ are equal."," {f g : β → α} : ∏' b, f b = ∏' b, g b",generalization,"Removed hypothesis (hfg : ∀ b, f b = g b)"
parallelepiped_single,Mathlib.MeasureTheory.Measure.Haar.OfBasis, [DecidableEq ι] (a : ι → ℝ) : (parallelepiped fun i => Pi.single i (a i)) = Set.uIcc 0 a,"For any finite index type $\iota$ with decidable equality and any function $a : \iota \to \mathbb{R}$, the parallelepiped spanned by the family of vectors $\lambda i, \text{Pi.single}_i (a_i)$ (where each $\text{Pi.single}_i (a_i)$ is the vector with $a_i$ in the $i$-th coordinate and zero elsewhere) is equal to the unordered closed interval $[0, a]$ in the product space $\mathbb{R}^\iota$.", [DecidableEq ι] (a : ι → ℝ) : (parallelepiped fun i => Pi.single i (a i)) ≠ Set.uIcc 0 a,negation,Changed = to ≠
parallelepiped_single,Mathlib.MeasureTheory.Measure.Haar.OfBasis, [DecidableEq ι] (a : ι → ℝ) : (parallelepiped fun i => Pi.single i (a i)) = Set.uIcc 0 a,"For any finite index type $\iota$ with decidable equality and any function $a : \iota \to \mathbb{R}$, the parallelepiped spanned by the family of vectors $\lambda i, \text{Pi.single}_i (a_i)$ (where each $\text{Pi.single}_i (a_i)$ is the vector with $a_i$ in the $i$-th coordinate and zero elsewhere) is equal to the unordered closed interval $[0, a]$ in the product space $\mathbb{R}^\iota$.", (a : ι → ℝ) : (parallelepiped fun i => Pi.single i (a i)) = Set.uIcc 0 a,generalization,Removed typeclass [DecidableEq ι]
NonUnitalAlgebra.adjoin_union,Mathlib.Algebra.Algebra.NonUnitalSubalgebra, (s t : Set A) : adjoin R (s ∪ t) = adjoin R s ⊔ adjoin R t,"For any two subsets $s$ and $t$ of a non-unital non-associative semiring $A$ that is also an $R$-module, the non-unital subalgebra generated by the union $s \cup t$ is equal to the supremum (join) of the non-unital subalgebras generated by $s$ and $t$ individually, i.e., $\text{adjoin}_R(s \cup t) = \text{adjoin}_R(s) \sqcup \text{adjoin}_R(t)$.", (s t : Set A) : adjoin R (s ∪ t) ≠ adjoin R s ⊔ adjoin R t,negation,Changed = to ≠
PrimeSpectrum.toPiLocalization_not_surjective_of_infinite,Mathlib.RingTheory.Spectrum.Maximal.Localization," [Infinite ι] : ¬Function.Surjective (toPiLocalization (Π i, R i))","For an infinite index set $\iota$, the canonical ring homomorphism from the product ring $\prod_{i \in \iota} R_i$ to the product of its localizations at all prime ideals is not surjective."," [Infinite ι] : Function.Surjective (toPiLocalization (Π i, R i",negation,Removed ¬ from conclusion
PrimeSpectrum.toPiLocalization_not_surjective_of_infinite,Mathlib.RingTheory.Spectrum.Maximal.Localization," [Infinite ι] : ¬Function.Surjective (toPiLocalization (Π i, R i))","For an infinite index set $\iota$, the canonical ring homomorphism from the product ring $\prod_{i \in \iota} R_i$ to the product of its localizations at all prime ideals is not surjective."," : ¬Function.Surjective (toPiLocalization (Π i, R i))",generalization,Removed typeclass [Infinite ι]
WithLp.equiv_fst,Mathlib.Analysis.Normed.Lp.ProdLp, (x : WithLp p (α × β)) : (WithLp.equiv p (α × β) x).fst = x.fst,"For any element $x$ in the type $\text{WithLp}\, p\, (\alpha \times \beta)$, the first component of the equivalence map $\text{WithLp.equiv}\, p\, (\alpha \times \beta)\, x$ is equal to the first component of $x$, i.e., $(\text{WithLp.equiv}\, p\, (\alpha \times \beta)\, x)_1 = x_1$.", (x : WithLp p (α × β)) : (WithLp.equiv p (α × β) x).fst ≠ x.fst,negation,Changed = to ≠
NNReal.rpow_pos,Mathlib.Analysis.SpecialFunctions.Pow.NNReal, {p : ℝ} {x : ℝ≥0} (hx_pos : 0 < x) : 0 < x ^ p,"For any positive nonnegative real number $x > 0$ and any real number $p$, the power $x^p$ is positive, i.e., $0 < x^p$.", {p : ℝ} {x : ℝ≥0} (hx_pos : 0 < x) : ¬(0 < x ^ p),negation,Negated conclusion with ¬
NNReal.rpow_pos,Mathlib.Analysis.SpecialFunctions.Pow.NNReal, {p : ℝ} {x : ℝ≥0} (hx_pos : 0 < x) : 0 < x ^ p,"For any positive nonnegative real number $x > 0$ and any real number $p$, the power $x^p$ is positive, i.e., $0 < x^p$.", {p : ℝ} {x : ℝ≥0} : 0 < x ^ p,generalization,Removed hypothesis (hx_pos : 0 < x)
NNReal.rpow_pos,Mathlib.Analysis.SpecialFunctions.Pow.NNReal, {p : ℝ} {x : ℝ≥0} (hx_pos : 0 < x) : 0 < x ^ p,"For any positive nonnegative real number $x > 0$ and any real number $p$, the power $x^p$ is positive, i.e., $0 < x^p$.", {p : ℝ} {x : ℝ≥1} (hx_pos : 0 < x) : 0 < x ^ p,bound_perturbation,Bound perturbation: ≥ n → ≥ n+1
IsCoprime.wronskian_eq_zero_iff,Mathlib.RingTheory.Polynomial.Wronskian, [NoZeroDivisors R] {a b : R[X]} (hc : IsCoprime a b) : wronskian a b = 0 ↔ derivative a = 0 ∧ derivative b = 0,"Let $R$ be a ring with no zero divisors, and let $a, b \in R[X]$ be coprime polynomials. Then their Wronskian $W(a, b) = a b' - a' b$ is zero if and only if both derivatives $a'$ and $b'$ are zero.", [NoZeroDivisors R] {a b : R[X]} (hc : IsCoprime a b) : wronskian a b ≠ 0 ↔ derivative a = 0 ∧ derivative b = 0,negation,Changed = to ≠
IsCoprime.wronskian_eq_zero_iff,Mathlib.RingTheory.Polynomial.Wronskian, [NoZeroDivisors R] {a b : R[X]} (hc : IsCoprime a b) : wronskian a b = 0 ↔ derivative a = 0 ∧ derivative b = 0,"Let $R$ be a ring with no zero divisors, and let $a, b \in R[X]$ be coprime polynomials. Then their Wronskian $W(a, b) = a b' - a' b$ is zero if and only if both derivatives $a'$ and $b'$ are zero.", {a b : R[X]} (hc : IsCoprime a b) : wronskian a b = 0 ↔ derivative a = 0 ∧ derivative b = 0,generalization,Removed typeclass [NoZeroDivisors R]
MulAction.stabilizer_finite,Mathlib.Algebra.Pointwise.Stabilizer, (hs₀ : s.Nonempty) (hs : s.Finite) : (stabilizer G s : Set G).Finite,"For a group $G$ acting on a set $\alpha$, if a subset $s \subseteq \alpha$ is nonempty and finite, then the stabilizer subgroup $\text{Stab}_G(s)$ is finite as a subset of $G$.", (hs₀ : s.Nonempty) (hs : s.Finite) : ¬((stabilizer G s : Set G).Finite),negation,Negated conclusion with ¬
MulAction.stabilizer_finite,Mathlib.Algebra.Pointwise.Stabilizer, (hs₀ : s.Nonempty) (hs : s.Finite) : (stabilizer G s : Set G).Finite,"For a group $G$ acting on a set $\alpha$, if a subset $s \subseteq \alpha$ is nonempty and finite, then the stabilizer subgroup $\text{Stab}_G(s)$ is finite as a subset of $G$.", (hs : s.Finite) : (stabilizer G s : Set G).Finite,generalization,Removed hypothesis (hs₀ : s.Nonempty)
QuadraticForm.posDef_of_toMatrix',Mathlib.LinearAlgebra.Matrix.PosDef, [DecidableEq n] {Q : QuadraticForm ℝ (n → ℝ)} (hQ : Q.toMatrix'.PosDef) : Q.PosDef,"Let $Q$ be a quadratic form on $\mathbb{R}^n$ (represented as a function $\mathbb{R}^n \to \mathbb{R}$). If the associated matrix representation of $Q$ is positive definite, then $Q$ itself is positive definite. That is, for all nonzero vectors $x \in \mathbb{R}^n$, $Q(x) > 0$.", [DecidableEq n] {Q : QuadraticForm ℝ (n → ℝ)} (hQ : Q.toMatrix'.PosDef) : ¬(Q.PosDef),negation,Negated conclusion with ¬
QuadraticForm.posDef_of_toMatrix',Mathlib.LinearAlgebra.Matrix.PosDef, [DecidableEq n] {Q : QuadraticForm ℝ (n → ℝ)} (hQ : Q.toMatrix'.PosDef) : Q.PosDef,"Let $Q$ be a quadratic form on $\mathbb{R}^n$ (represented as a function $\mathbb{R}^n \to \mathbb{R}$). If the associated matrix representation of $Q$ is positive definite, then $Q$ itself is positive definite. That is, for all nonzero vectors $x \in \mathbb{R}^n$, $Q(x) > 0$.", {Q : QuadraticForm ℝ (n → ℝ)} (hQ : Q.toMatrix'.PosDef) : Q.PosDef,generalization,Removed typeclass [DecidableEq n]
CategoryTheory.Limits.IsTerminal.hasTerminal,Mathlib.CategoryTheory.Limits.Shapes.Terminal, {X : C} (h : IsTerminal X) : HasTerminal C,"Given an object $X$ in a category $\mathcal{C}$, if $X$ is terminal (i.e., for every object $Y \in \mathcal{C}$ there exists a unique morphism $Y \to X$), then the category $\mathcal{C}$ has a terminal object.", {X : C} (h : IsTerminal X) : ¬(HasTerminal C),negation,Negated conclusion with ¬
CategoryTheory.Limits.IsTerminal.hasTerminal,Mathlib.CategoryTheory.Limits.Shapes.Terminal, {X : C} (h : IsTerminal X) : HasTerminal C,"Given an object $X$ in a category $\mathcal{C}$, if $X$ is terminal (i.e., for every object $Y \in \mathcal{C}$ there exists a unique morphism $Y \to X$), then the category $\mathcal{C}$ has a terminal object.", {X : C} : HasTerminal C,generalization,Removed hypothesis (h : IsTerminal X)
Function.invFun_comp,Mathlib.Logic.Function.Basic, (hf : Injective f) : invFun f ∘ f = id,"For any injective function $f : \alpha \to \beta$, the composition of the inverse function $\text{invFun}\, f$ with $f$ is equal to the identity function on $\alpha$, i.e., $(\text{invFun}\, f) \circ f = \text{id}_\alpha$.", (hf : Injective f) : invFun f ∘ f ≠ id,negation,Changed = to ≠
Function.invFun_comp,Mathlib.Logic.Function.Basic, (hf : Injective f) : invFun f ∘ f = id,"For any injective function $f : \alpha \to \beta$, the composition of the inverse function $\text{invFun}\, f$ with $f$ is equal to the identity function on $\alpha$, i.e., $(\text{invFun}\, f) \circ f = \text{id}_\alpha$.", : invFun f ∘ f = id,generalization,Removed hypothesis (hf : Injective f)
Filter.Tendsto.bddBelow_range,Mathlib.Topology.Algebra.Order.LiminfLimsup, [IsDirected α (· ≥ ·)] {u : ℕ → α} (h : Tendsto u atTop (𝓝 a)) : BddBelow (Set.range u),"Let $\alpha$ be a preordered topological space where the order $\geq$ is directed. Given a function $u \colon \mathbb{N} \to \alpha$ that tends to a point $a \in \alpha$ along the `atTop` filter on $\mathbb{N}$, the range of $u$ is bounded below in $\alpha$.", [IsDirected α (· ≥ ·)] {u : ℕ → α} (h : Tendsto u atTop (𝓝 a)) : ¬(BddBelow (Set.range u)),negation,Negated conclusion with ¬
Filter.Tendsto.bddBelow_range,Mathlib.Topology.Algebra.Order.LiminfLimsup, [IsDirected α (· ≥ ·)] {u : ℕ → α} (h : Tendsto u atTop (𝓝 a)) : BddBelow (Set.range u),"Let $\alpha$ be a preordered topological space where the order $\geq$ is directed. Given a function $u \colon \mathbb{N} \to \alpha$ that tends to a point $a \in \alpha$ along the `atTop` filter on $\mathbb{N}$, the range of $u$ is bounded below in $\alpha$.", {u : ℕ → α} (h : Tendsto u atTop (𝓝 a)) : BddBelow (Set.range u),generalization,Removed typeclass [IsDirected α (· ≥ ·)]
MultilinearMap.mkPiAlgebraFin_apply,Mathlib.LinearAlgebra.Multilinear.Basic, (m : Fin n → A) : MultilinearMap.mkPiAlgebraFin R n A m = (List.ofFn m).prod,"For any tuple $m = (m_1, \dots, m_n) \in A^n$ where $A$ is an $R$-algebra, the evaluation of the multilinear product map $\text{mkPiAlgebraFin}$ at $m$ equals the product of the elements in the list representation of $m$, i.e., $\text{mkPiAlgebraFin}(m) = \prod_{i=1}^n m_i$.", (m : Fin n → A) : MultilinearMap.mkPiAlgebraFin R n A m ≠ (List.ofFn m).prod,negation,Changed = to ≠
